result_id,result_month,winner_id,loser_id,winner_set_1,winner_set_2,winner_set_3,winner_set_4,winner_set_5,loser_set_1,loser_set_2,loser_set_3,loser_set_4,loser_set_5
285,Sep-19,3482,3894,6,6,0,0,0,2,2,0,0,0
286,Feb-19,3761,51296,6,3,6,0,0,2,6,3,0,0
287,Mar-19,398304,1736726,7,6,0,0,0,5,2,0,0,0
289,Aug-19,3456,253923,6,6,0,0,0,3,4,0,0,0
290,Jul-19,2115126,49884,7,6,0,0,0,6,4,0,0,0
291,Jan-19,11134,34159,6,6,0,0,0,4,2,0,0,0
292,Sep-19,77968,95375,6,6,0,0,0,2,4,0,0,0
294,Aug-19,11140,28472,6,6,0,0,0,3,2,0,0,0
296,Jun-19,1393213,2596786,7,6,0,0,0,6,3,0,0,0
297,Aug-19,2516571,28527,7,6,0,0,0,6,1,0,0,0
298,Sep-19,50772,252053,6,7,0,0,0,1,5,0,0,0
300,Sep-19,10866,11461,6,7,0,0,0,4,5,0,0,0
302,Sep-19,50772,405461,7,6,0,0,0,6,4,0,0,0
305,Aug-19,91084,2537714,6,6,0,0,0,4,1,0,0,0
307,Sep-19,58235,28399,6,6,0,0,0,3,4,0,0,0
308,Feb-19,1744266,55849,6,7,0,0,0,4,5,0,0,0
309,Nov-19,4633,3597,6,7,6,0,0,7,6,1,0,0
310,Sep-19,7479,3605,4,7,7,0,0,6,6,6,0,0
312,Feb-19,2537714,2616345,6,3,7,0,0,2,6,6,0,0
313,Mar-19,11695,10383,7,2,7,0,0,6,6,6,0,0
314,Oct-19,54729,51790,6,6,0,0,0,2,2,0,0,0
315,Feb-19,223621,85223,6,3,6,0,0,0,6,0,0,0
320,Mar-19,2231281,10403,6,6,0,0,0,3,4,0,0,0
321,Jul-19,142094,207037,3,6,7,0,0,6,4,6,0,0
322,Oct-19,53840,4690,7,6,6,0,0,6,7,2,0,0
323,Jun-19,27273,2085751,6,6,0,0,0,3,1,0,0,0
324,Jan-19,235621,204410,6,3,7,0,0,1,6,6,0,0
327,Oct-19,53378,83713,7,6,0,0,0,5,3,0,0,0
329,Jan-19,206781,606930,5,6,7,0,0,7,4,6,0,0
330,Oct-19,11599,11666,6,4,6,0,0,3,6,3,0,0
331,Jul-19,3679,1459374,6,6,0,0,0,2,1,0,0,0
332,Mar-19,53840,55849,2,6,6,0,0,6,4,4,0,0
334,Feb-19,3761,4031,3,6,7,0,0,6,3,6,0,0
335,Sep-19,10819,847617,6,7,6,0,0,7,6,1,0,0
337,Aug-19,4021,5691,6,2,7,0,0,3,6,6,0,0
338,Nov-19,45588,4190,6,7,0,0,0,3,5,0,0,0
339,Oct-19,3456,3761,6,6,0,0,0,0,3,0,0,0
340,Feb-19,11349,10760,6,3,6,0,0,2,6,3,0,0
341,Feb-19,3878,83218,6,7,0,0,0,4,6,0,0,0
342,Oct-19,94598,79623,5,6,6,0,0,7,4,3,0,0
343,Nov-19,4487,4190,3,6,6,0,0,6,1,2,0,0
345,Sep-19,1971098,830070,6,6,0,0,0,1,3,0,0,0
346,Jul-19,3617,1954753,3,6,7,0,0,6,1,6,0,0
347,Mar-19,398304,836822,6,6,0,0,0,0,1,0,0,0
348,Feb-19,92088,167901,6,6,0,0,0,0,2,0,0,0
349,Mar-19,95506,3466,7,6,0,0,0,5,3,0,0,0
351,Sep-19,3867,51296,7,6,0,0,0,6,1,0,0,0
352,Feb-19,10785,10286,6,7,0,0,0,4,6,0,0,0
355,Mar-19,1969408,98984,7,6,6,0,0,5,7,1,0,0
356,Nov-19,3478,94283,6,6,0,0,0,1,2,0,0,0
357,Dec-19,54450,54620,6,6,0,0,0,4,3,0,0,0
358,Feb-19,200425,3464,6,7,0,0,0,2,6,0,0,0
359,Aug-19,52294,3761,6,6,3,4,6,1,3,6,6,2
360,Jun-19,2086499,51245,6,6,0,0,0,4,4,0,0,0
363,Mar-19,2555959,1736726,7,6,0,0,0,5,1,0,0,0
365,Jan-19,94283,206796,7,4,6,7,0,5,6,4,6,0
367,Aug-19,51547,10751,6,6,0,0,0,3,3,0,0,0
369,Jul-19,51288,2204585,6,6,6,0,0,4,7,1,0,0
371,Sep-19,3484,95378,6,6,0,0,0,4,3,0,0,0
372,Sep-19,95375,93116,6,6,0,0,0,3,2,0,0,0
373,Oct-19,49924,4072,4,7,7,0,0,6,6,6,0,0
374,Jan-19,11359,2231281,7,6,0,0,0,5,3,0,0,0
375,Sep-19,4348,3462,3,6,6,0,0,6,3,2,0,0
376,Jan-19,10340,52346,6,6,0,0,0,0,2,0,0,0
377,Nov-19,1393071,191038,6,7,0,0,0,1,5,0,0,0
378,Feb-19,2555959,77442,7,6,0,0,0,6,1,0,0,0
379,Sep-19,51259,1638770,6,6,0,0,0,0,2,0,0,0
380,Aug-19,81943,11541,5,6,6,0,0,7,4,4,0,0
381,Oct-19,198546,3644,6,6,0,0,0,4,4,0,0,0
382,Dec-19,86294,233912,6,6,0,0,0,3,3,0,0,0
383,Nov-19,83713,87176,6,4,6,0,0,2,6,3,0,0
384,Sep-19,10277,10695,6,6,0,0,0,1,0,0,0,0
385,Feb-19,54171,55282,6,6,0,0,0,2,4,0,0,0
386,May-19,60718,3967,6,6,0,0,0,2,4,0,0,0
388,Sep-19,3867,4021,7,6,0,0,0,6,3,0,0,0
389,Jan-19,11349,28145,6,6,0,0,0,3,4,0,0,0
390,Oct-19,247320,4802,7,6,0,0,0,5,1,0,0,0
391,Aug-19,11767,11361,6,6,0,0,0,1,2,0,0,0
394,Oct-19,56801,52003,6,6,0,0,0,0,1,0,0,0
395,Sep-19,4401,3534,6,6,0,0,0,1,1,0,0,0
396,Jul-19,2611704,3721,7,6,0,0,0,5,3,0,0,0
398,Sep-19,2611704,3982,6,3,7,0,0,3,6,5,0,0
399,Oct-19,192639,2600371,6,6,0,0,0,4,1,0,0,0
402,Jul-19,56735,49984,6,6,0,0,0,4,3,0,0,0
404,Nov-19,53292,2579584,6,6,0,0,0,1,2,0,0,0
405,Oct-19,3558,1008596,6,6,6,0,0,7,3,4,0,0
406,Sep-19,56801,10463,6,7,0,0,0,3,6,0,0,0
407,Aug-19,4021,2616345,7,6,0,0,0,6,4,0,0,0
408,Sep-19,58289,308451,7,7,0,0,0,6,6,0,0,0
409,Jul-19,4190,2616345,2,7,6,0,0,6,6,2,0,0
410,Jan-19,196974,3700,7,7,6,7,0,6,6,7,6,0
413,Feb-19,2611704,2596786,4,6,6,0,0,6,1,4,0,0
414,Jan-19,3469,3685,4,6,6,6,0,6,3,1,4,0
415,Jul-19,60157,81226,6,6,0,0,0,3,4,0,0,0
418,Sep-19,84281,10281,6,3,6,0,0,3,6,1,0,0
419,Oct-19,4372,53449,6,6,0,0,0,2,2,0,0,0
420,Oct-19,1972277,153449,6,6,0,0,0,4,3,0,0,0
423,Nov-19,919337,252053,6,4,6,0,0,4,6,4,0,0
425,Nov-19,27273,960543,6,7,0,0,0,2,6,0,0,0
426,Mar-19,142720,1972277,4,7,6,0,0,6,5,4,0,0
427,Oct-19,4151,1398935,6,6,0,0,0,1,3,0,0,0
428,Feb-19,11767,281134,6,6,0,0,0,3,3,0,0,0
430,Oct-19,200399,3564,6,6,0,0,0,3,4,0,0,0
431,Sep-19,76531,3558,6,6,0,0,0,4,4,0,0,0
432,Nov-19,1740216,54729,6,7,0,0,0,3,6,0,0,0
433,Jul-19,3960,2115646,4,6,7,0,0,6,1,5,0,0
434,Feb-19,11134,28145,7,6,0,0,0,6,4,0,0,0
436,Jul-19,4128,137307,6,6,0,0,0,3,1,0,0,0
437,Aug-19,4021,3943,6,5,6,0,0,3,7,4,0,0
438,Aug-19,2516571,2500037,4,6,6,0,0,6,3,4,0,0
439,Feb-19,10281,10249,3,6,6,0,0,6,3,3,0,0
441,Nov-19,919337,51222,6,6,0,0,0,4,2,0,0,0
442,Jan-19,3994,3564,6,7,7,0,0,7,6,6,0,0
443,Sep-19,45027,219786,2,6,6,0,0,6,3,4,0,0
444,Mar-19,207438,52294,6,6,0,0,0,3,1,0,0,0
446,Oct-19,3468,253923,6,7,0,0,0,1,6,0,0,0
447,Oct-19,1988251,773853,6,6,0,0,0,2,4,0,0,0
450,Mar-19,51259,55210,6,7,0,0,0,3,6,0,0,0
451,Aug-19,3686,3959,7,6,6,0,0,6,7,4,0,0
452,May-19,3679,3617,6,6,0,0,0,1,1,0,0,0
454,Jan-19,79636,74682,6,6,0,0,0,2,4,0,0,0
455,Sep-19,10473,10287,7,3,6,0,0,6,6,3,0,0
456,Sep-19,28990,10819,7,3,7,0,0,5,6,5,0,0
457,Aug-19,844356,10259,3,6,6,0,0,6,1,2,0,0
458,Mar-19,11348,191910,6,6,0,0,0,4,4,0,0,0
459,Feb-19,10760,240233,5,6,6,0,0,7,1,2,0,0
460,Sep-19,217512,83218,6,6,0,0,0,3,4,0,0,0
461,Oct-19,219786,10347,7,6,0,0,0,6,1,0,0,0
462,Mar-19,3679,137424,6,7,0,0,0,4,5,0,0,0
463,Mar-19,3456,3761,4,7,6,0,0,6,5,3,0,0
465,Nov-19,141998,1398935,6,6,0,0,0,4,2,0,0,0
466,Mar-19,1964059,52294,2,7,6,0,0,6,5,3,0,0
467,Jul-19,198546,1940917,6,6,0,0,0,3,4,0,0,0
468,Feb-19,11134,84281,7,6,0,0,0,6,2,0,0,0
469,Aug-19,10403,1969408,6,6,0,0,0,2,1,0,0,0
471,Aug-19,28150,167938,6,4,6,0,0,2,6,3,0,0
472,Sep-19,405461,73232,6,6,0,0,0,3,2,0,0,0
473,Oct-19,7479,93116,6,6,0,0,0,3,4,0,0,0
474,Sep-19,1517181,3791,6,6,0,0,0,4,3,0,0,0
475,Oct-19,3850,2617037,7,6,0,0,0,6,1,0,0,0
476,Oct-19,76531,207050,7,6,0,0,0,6,3,0,0,0
478,Mar-19,10322,98984,6,6,0,0,0,2,3,0,0,0
479,Feb-19,196974,3701,2,7,6,0,0,6,6,4,0,0
480,Jul-19,1517181,252053,6,6,0,0,0,3,4,0,0,0
481,Aug-19,10319,11063,6,6,0,0,0,1,0,0,0,0
482,Oct-19,74092,54182,6,7,0,0,0,4,6,0,0,0
484,Nov-19,218755,1522056,6,6,0,0,0,2,2,0,0,0
485,Jul-19,3946,1554636,6,6,0,0,0,1,1,0,0,0
486,Sep-19,836822,10244,6,6,0,0,0,3,2,0,0,0
487,Feb-19,3711,4053,6,6,7,0,0,7,3,5,0,0
488,Jun-19,1393213,1971098,4,6,6,0,0,6,2,4,0,0
489,Oct-19,3867,218159,5,6,6,0,0,7,1,3,0,0
490,Sep-19,10759,10283,6,6,0,0,0,3,3,0,0,0
491,Jul-19,2085751,141946,7,6,0,0,0,5,2,0,0,0
492,Aug-19,3761,3871,6,7,0,0,0,4,6,0,0,0
493,Aug-19,4073,207050,6,6,0,0,0,3,1,0,0,0
